# simTime drag lift presDiff dispAx dispAy aleNorm aleTime flowTime beamTime couplingIter flowIter beamIter omega resAbs resRel
0.74 51.3152 0.0496937 678.643 2.75962e-05 -0.000131395 2.20158e-05 147.594 1073.73 134.29 5 3 3 0.609383 4.35653e-11 0.000463723
0.75 52.2537 0.0581441 690.255 2.87695e-05 -0.000135803 2.27328e-05 149.492 1087.67 136.024 5 3 3 0.609492 4.53167e-11 0.000479823
0.76 53.2017 0.0669308 702.036 2.99516e-05 -0.000140199 2.34485e-05 151.39 1101.57 137.757 5 3 3 0.609602 4.70955e-11 0.000496142
0.77 54.1593 0.0760676 713.989 3.11423e-05 -0.000144576 2.41619e-05 153.286 1115.48 139.49 5 3 3 0.609713 4.88674e-11 0.000512308
0.78 55.1268 0.085577 726.117 3.23403e-05 -0.000148928 2.48721e-05 155.183 1129.39 141.222 5 3 3 0.609823 5.06037e-11 0.000528056
0.79 56.1041 0.095484 738.422 3.35451e-05 -0.00015325 2.55781e-05 157.082 1143.28 142.954 5 3 3 0.609934 5.22867e-11 0.000543197
0.8 57.0913 0.105823 750.902 3.47553e-05 -0.000157535 2.62791e-05 158.98 1157.2 144.687 5 3 3 0.610044 5.38999e-11 0.000557601
0.81 58.0885 0.116634 763.558 3.597e-05 -0.000161777 2.69742e-05 160.878 1171.12 146.42 5 3 3 0.610153 5.54342e-11 0.00057117
0.82 59.0956 0.127964 776.387 3.71878e-05 -0.000165973 2.76627e-05 162.775 1185.06 148.153 5 3 3 0.610262 5.68799e-11 0.000583842
0.83 60.1125 0.139871 789.384 3.84078e-05 -0.000170118 2.83438e-05 164.673 1198.99 149.886 5 3 3 0.610369 5.8231e-11 0.000595543
0.84 61.1392 0.152418 802.545 3.96288e-05 -0.000174207 2.90169e-05 166.602 1212.93 151.619 5 3 3 0.610475 5.94805e-11 0.000606233
0.85 62.1753 0.165677 815.863 4.08499e-05 -0.000178238 2.96814e-05 168.499 1226.85 153.354 5 3 3 0.610579 6.06239e-11 0.000615841
0.86 63.2206 0.179729 829.33 4.20698e-05 -0.000182207 3.03368e-05 170.396 1240.74 155.087 5 3 3 0.610682 6.16534e-11 0.000624314
0.87 64.2748 0.194659 842.939 4.32877e-05 -0.000186112 3.09827e-05 172.295 1254.69 156.819 5 3 3 0.610783 6.25634e-11 0.000631561
0.88 65.3374 0.210559 856.68 4.45023e-05 -0.000189951 3.16187e-05 174.193 1268.6 158.552 5 3 3 0.610882 6.33446e-11 0.000637507
0.89 66.408 0.227524 870.544 4.57127e-05 -0.000193723 3.22445e-05 176.09 1282.52 160.285 5 3 3 0.61098 6.39884e-11 0.000642027
0.9 67.486 0.24565 884.522 4.69174e-05 -0.000197428 3.28599e-05 177.987 1296.45 162.019 5 3 3 0.611077 6.4483e-11 0.00064502
0.91 68.5707 0.265033 898.606 4.81153e-05 -0.000201065 3.34648e-05 179.886 1310.36 163.752 5 3 3 0.611173 6.48165e-11 0.000646325
0.92 69.6615 0.285768 912.785 4.93048e-05 -0.000204636 3.4059e-05 181.783 1324.32 165.485 5 3 3 0.611269 6.49731e-11 0.000645805
0.93 70.7576 0.307941 927.053 5.0485e-05 -0.000208141 3.46426e-05 183.681 1338.26 167.219 5 3 3 0.611366 6.49369e-11 0.000643261
0.94 71.8582 0.331636 941.402 5.1654e-05 -0.000211582 3.52156e-05 185.579 1352.21 168.951 5 3 3 0.611464 6.46875e-11 0.000638517
0.95 72.9623 0.356922 955.826 5.28109e-05 -0.000214961 3.57781e-05 187.476 1366.15 170.684 5 3 3 0.611564 6.4204e-11 0.000631337
0.96 74.0692 0.383864 970.317 5.39541e-05 -0.000218281 3.63302e-05 189.374 1380.11 172.418 5 3 3 0.611667 6.34599e-11 0.000621502
0.97 75.1779 0.412509 984.873 5.50826e-05 -0.000221546 3.68721e-05 191.273 1398.45 174.15 5 4 3 0.611775 6.2428e-11 0.000608732
0.98 76.2875 0.442898 999.486 5.61947e-05 -0.000224759 3.74042e-05 193.171 1416.76 175.883 5 4 3 0.61189 6.10738e-11 0.000592759
0.99 77.3971 0.475055 1014.16 5.72894e-05 -0.000227924 3.79265e-05 195.068 1435.1 177.616 5 4 3 0.612012 5.93613e-11 0.000573256
1 78.5058 0.508993 1028.87 5.83651e-05 -0.000231044 3.84393e-05 196.966 1453.45 179.349 5 4 3 0.612145 5.72476e-11 0.000549906
1.01 79.6129 0.544714 1043.64 5.94209e-05 -0.000234123 3.8943e-05 198.864 1471.81 181.082 5 4 3 0.612291 5.46892e-11 0.000522356
1.02 80.7174 0.58221 1058.46 6.04551e-05 -0.000237166 3.94376e-05 200.76 1490.15 182.813 5 4 3 0.612452 5.16409e-11 0.000490308
1.03 81.8186 0.621461 1073.31 6.14665e-05 -0.000240175 3.99235e-05 202.658 1508.54 184.545 5 4 3 0.612633 4.80724e-11 0.000453579
1.04 82.9159 0.662441 1088.21 6.24537e-05 -0.000243155 4.04006e-05 204.555 1526.92 186.278 5 4 3 0.612838 4.39924e-11 0.000412407
1.05 84.0085 0.705114 1103.14 6.34155e-05 -0.000246107 4.08691e-05 206.454 1545.27 188.01 5 4 3 0.613075 3.95285e-11 0.0003681
1.06 85.0959 0.74944 1118.1 6.43502e-05 -0.000249035 4.1329e-05 208.351 1563.61 189.743 5 4 3 0.61335 3.51073e-11 0.000324729
1.07 86.1775 0.795368 1133.09 6.52568e-05 -0.000251938 4.17802e-05 210.248 1581.98 191.475 5 4 3 0.613676 3.18745e-11 0.000292827
1.08 87.2527 0.842847 1148.11 6.61336e-05 -0.000254818 4.22223e-05 212.146 1600.35 193.207 5 4 3 0.61407 3.21774e-11 0.000293623
1.09 88.3212 0.891815 1163.15 6.69795e-05 -0.000257673 4.26551e-05 214.043 1618.7 194.94 5 4 3 0.614558 3.8763e-11 0.000351378
1.1 89.3824 0.942206 1178.21 6.77927e-05 -0.0002605 4.30779e-05 215.942 1637.05 196.671 5 4 3 0.615179 5.27587e-11 0.000475191
1.11 90.4358 0.993946 1193.27 6.85719e-05 -0.000263295 4.34901e-05 217.838 1655.41 198.405 5 4 3 0.615999 7.41785e-11 0.000664026
1.12 91.4812 1.0469 1208.35 6.93155e-05 -0.000266053 4.38908e-05 220.114 1673.04 200.484 6 4 3 0.796028 4.67926e-11 0.000416468
1.13 92.5179 1.10128 1223.42 7.0022e-05 -0.000268765 4.42788e-05 222.391 1689.76 202.562 6 3 3 0.716792 3.71689e-11 0.000329021
1.14 93.5457 1.15668 1238.49 7.06895e-05 -0.000271422 4.46528e-05 224.668 1706.49 204.642 6 3 3 0.674692 3.07099e-11 0.000270521
1.15 94.5641 1.21295 1253.55 7.13169e-05 -0.000274013 4.50114e-05 226.943 1723.24 206.722 6 3 3 0.649794 2.38866e-11 0.000209491
1.16 95.5727 1.27029 1268.59 7.19021e-05 -0.000276523 4.53528e-05 229.219 1739.98 208.8 6 3 3 0.634892 1.54645e-11 0.000135078
1.17 96.5712 1.32831 1283.61 7.24439e-05 -0.000278935 4.5675e-05 231.495 1756.72 210.878 6 3 3 0.629541 1.67423e-11 0.000145719
1.18 97.5591 1.38695 1298.6 7.29407e-05 -0.000281233 4.59758e-05 233.391 1770.65 212.61 5 3 3 0.813964 7.88691e-11 0.000684211
1.19 98.5361 1.44597 1313.56 7.33915e-05 -0.000283395 4.6253e-05 235.669 1787.36 214.69 6 3 3 0.602532 3.08138e-11 0.000266522
1.2 99.5018 1.50544 1328.47 7.37949e-05 -0.0002854 4.6504e-05 237.944 1804.14 216.77 6 3 3 0.612842 1.34496e-11 0.000115976
1.21 100.456 1.56522 1343.34 7.41503e-05 -0.000287224 4.67261e-05 240.219 1820.84 218.847 6 3 3 0.620627 1.40164e-11 0.00012047
1.22 101.398 1.62484 1358.16 7.4457e-05 -0.000288842 4.69168e-05 242.495 1837.5 220.924 6 3 3 0.628715 2.13169e-11 0.00018261
1.23 102.328 1.6843 1372.93 7.47149e-05 -0.000290227 4.70732e-05 244.769 1854.17 223.001 6 3 3 0.63793 2.68116e-11 0.000228759
1.24 103.246 1.74347 1387.64 7.49238e-05 -0.000291353 4.71925e-05 247.042 1870.78 225.077 6 3 3 0.648196 3.06024e-11 0.000259852
1.25 104.151 1.80206 1402.29 7.50844e-05 -0.000292192 4.72721e-05 249.316 1887.35 227.153 6 3 3 0.659943 3.43595e-11 0.000290105
1.26 105.044 1.85995 1416.87 7.51972e-05 -0.000292716 4.73094e-05 251.59 1903.98 229.229 6 3 3 0.675833 4.08004e-11 0.000342141
1.27 105.923 1.91695 1431.38 7.52635e-05 -0.000292898 4.73019e-05 253.864 1920.55 231.306 6 3 3 0.704347 5.36955e-11 0.00044665
1.28 106.789 1.97287 1445.82 7.52844e-05 -0.000292708 4.72474e-05 256.138 1937.11 233.382 6 3 3 0.77233 8.14071e-11 0.000670824
1.29 107.642 2.0275 1460.19 7.52616e-05 -0.000292121 4.71438e-05 258.789 1956.46 235.804 7 3 3 0.771181 2.67999e-11 0.000218465
1.3 108.482 2.0806 1474.47 7.51968e-05 -0.000291108 4.69895e-05 261.441 1975.76 238.225 7 3 3 0.799227 3.69902e-11 0.00029792
1.31 109.308 2.13228 1488.68 7.50923e-05 -0.000289644 4.67828e-05 264.093 1995.09 240.648 7 3 3 0.817195 3.07452e-11 0.000244188
1.32 110.121 2.18227 1502.79 7.49496e-05 -0.0002877 4.65225e-05 266.745 2014.4 243.069 7 3 3 0.825166 2.51133e-11 0.000196466
1.33 110.92 2.23025 1516.82 7.47713e-05 -0.000285251 4.62076e-05 269.395 2033.7 245.491 7 3 3 0.816567 2.4068e-11 0.000185287
1.34 111.706 2.27626 1530.74 7.45591e-05 -0.000282267 4.58373e-05 272.046 2053.02 247.913 7 3 3 0.757948 2.40105e-11 0.000181608
1.35 112.477 2.32007 1544.56 7.43154e-05 -0.000278719 4.54108e-05 274.697 2072.39 250.335 7 3 3 0.723317 2.43052e-11 0.000180441
1.36 113.235 2.36156 1558.28 7.40418e-05 -0.000274577 4.49274e-05 277.348 2091.69 252.757 7 3 3 0.816102 2.72725e-11 0.000198511
1.37 113.979 2.40064 1571.87 7.37403e-05 -0.000269808 4.43868e-05 280.001 2111 255.181 7 3 3 0.860371 3.26674e-11 0.00023286
1.38 114.709 2.43711 1585.35 7.34122e-05 -0.000264376 4.37883e-05 282.653 2130.33 257.602 7 3 3 0.864983 4.10516e-11 0.000286339
1.39 115.424 2.47081 1598.69 7.30593e-05 -0.000258243 4.3132e-05 285.304 2149.67 260.023 7 3 3 0.861898 4.99216e-11 0.000340421
1.4 116.125 2.50164 1611.89 7.26825e-05 -0.000251371 4.24179e-05 287.955 2168.99 262.442 7 3 3 0.856712 5.85268e-11 0.000389802
1.41 116.812 2.52943 1624.94 7.22833e-05 -0.000243719 4.16468e-05 290.606 2188.33 264.864 7 3 3 0.850323 6.67398e-11 0.000433816
1.42 117.484 2.55406 1637.84 7.18627e-05 -0.000235248 4.08205e-05 293.258 2207.72 267.285 7 3 3 0.842802 7.45126e-11 0.00047233
1.43 118.14 2.57542 1650.58 7.14221e-05 -0.000225921 3.99422e-05 295.908 2227.12 269.707 7 3 3 0.834065 8.1746e-11 0.000504983
1.44 118.782 2.59342 1663.15 7.09626e-05 -0.000215704 3.9017e-05 298.561 2246.47 272.128 7 3 3 0.824029 8.83156e-11 0.000531382
1.45 119.409 2.60806 1675.56 7.04861e-05 -0.000204568 3.80527e-05 301.214 2265.69 274.548 7 3 3 0.812654 9.40882e-11 0.000551171
1.46 120.021 2.61934 1687.78 6.99941e-05 -0.000192494 3.70601e-05 303.862 2284.92 276.969 7 3 3 0.799988 9.89525e-11 0.000564257
1.47 120.617 2.62733 1699.82 6.94887e-05 -0.000179469 3.60537e-05 306.89 2306.89 279.733 8 3 3 0.720682 1.68526e-11 9.35492e-05
1.48 121.197 2.63206 1711.67 6.89718e-05 -0.000165493 3.50525e-05 309.931 2328.85 282.496 8 3 3 0.712471 1.71946e-11 9.29749e-05
1.49 121.762 2.63403 1723.33 6.84456e-05 -0.000150575 3.40801e-05 312.957 2350.81 285.262 8 3 3 0.705131 1.73492e-11 9.13779e-05
1.5 122.312 2.63335 1734.79 6.79118e-05 -0.000134739 3.31648e-05 315.985 2372.77 288.025 8 3 3 0.698394 1.7372e-11 8.92405e-05
1.51 122.845 2.63014 1746.04 6.73722e-05 -0.00011802 3.23394e-05 319.012 2394.75 290.788 8 3 3 0.692047 1.73091e-11 8.68744e-05
1.52 123.362 2.62492 1757.09 6.6828e-05 -0.000100465 3.16403e-05 322.039 2416.73 293.552 8 3 3 0.685887 1.71879e-11 8.43803e-05
1.53 123.864 2.61792 1767.91 6.62807e-05 -8.21318e-05 3.11058e-05 325.067 2438.71 296.316 8 3 3 0.67976 1.70145e-11 8.18809e-05
1.54 124.349 2.6095 1778.51 6.57305e-05 -6.30919e-05 3.07731e-05 328.093 2460.73 299.082 8 3 3 0.673532 1.67731e-11 7.92995e-05
1.55 124.817 2.60005 1788.88 6.51785e-05 -4.34252e-05 3.06754e-05 331.12 2482.71 301.846 8 3 3 0.667124 1.64411e-11 7.65401e-05
